node,demand
AT,91.97568561055327
BE,208.27457695406926
BG,30.806150349935262
CH,91.97568561055327
CZ,58.14373149598457
DE,587.9334941918893
DK,0.0
EE,0.0
EL,187.52564079348838
ES,115.16250033952319
FI,32.83924933679797
FR,275.8488238915698
HR,4.508162138181422
HU,96.49249880035129
IE,7.407398437287798
IT,325.26433014332406
LT,0.0
LU,0.0
LV,0.0
NL,959.991919347391
NO,333.401391139802
PL,206.6548882289563
PT,89.20081666651576
RO,12.479766679643996
SE,20.30400456319206
SI,0.0
SK,55.44036614183921
UK,177.61034051915362
