time,BE,BG,CH,CZ,DE,ES,FI,FR,HU,NL,RO,SE,SI,SK,UK
0,0.6940938919737507,1.0,0.8452491911904897,0.746980198019802,0.8311561825669578,0.9560804279479036,0.9953271028037383,0.7823784756740213,1.0,0.9994845360824742,1.0,0.9869359553373634,0.996264367816092,0.9831958762886597,0.7909019337810954
1,0.6938835604913344,1.0,0.8322044239209966,0.7469306930693069,0.7983417449745975,0.956024224491391,0.9948257203095675,0.7715557813059901,1.0,0.9996134020618557,1.0,0.9869708772925062,0.9971264367816092,0.9835051546391753,0.7897882599097363
2,0.6942200908632005,1.0,0.8450120136037717,0.746980198019802,0.7825456577142469,0.9560804279479036,0.9941095919313595,0.7648312999748262,1.0,0.9989690721649485,1.0,0.986825392837407,0.9971264367816092,0.9831958762886599,0.7881255989021433
3,0.6955241460541814,1.0,0.8449959222624506,0.7471782178217822,0.7738558706193394,0.9561647331326725,0.9934656630439985,0.7589813596980566,0.99594523433386,0.9990979381443299,1.0,0.9869359640753885,0.9965517241379309,0.9826804123711341,0.7858284770566535
4,0.6956924112401144,1.0,0.789256214681652,0.7473762376237624,0.768018045052731,0.9563052417739538,0.9928930073532325,0.7494048101378935,0.9810953133228015,0.9993556701030928,1.0,0.9869825055136632,0.996264367816092,0.9823711340206186,0.7825003107519347
5,0.6966599360592294,1.0,0.8132674706347993,0.7475247524752475,0.7695837186420318,0.9564704748887751,0.992177187739775,0.7444761054295369,0.9723012111637704,0.9994845360824742,1.0,0.9868894226371138,0.9965517241379309,0.9829896907216495,0.7824105669533035
6,0.6971647316170285,1.0,0.8462673378712513,0.7474752475247525,0.7677241844154918,0.9566109835300566,0.9914613681263177,0.7452734704990059,0.9723275408109531,0.9994845360824742,1.0,0.9869417781859671,0.9965517241379309,0.9772164948453608,0.781653968375484
7,0.6968702675416457,1.0,0.848909691838835,0.7477722772277227,0.7684504445488918,0.9573450057194366,0.9907455485128602,0.7430951487577808,0.9724855186940495,0.9994845360824742,1.0,0.9869185765113742,0.9968390804597702,0.9756701030927836,0.7845640529172135
8,0.696744068652196,1.0,0.8540063746467542,0.7481188118811881,0.7677185233493635,0.9575153047163324,0.9901013108607486,0.7482739613504736,0.9726434965771459,0.9994845360824742,1.0,0.9869708400008348,0.9968390804597702,0.9757731958762885,0.7858598438797705
9,0.6969544001346122,1.0,0.8598217574499815,0.7474257425742574,0.7650925684727895,0.9576243343746412,0.9893854912472912,0.7562096783664591,0.9759873617693522,0.9994845360824742,1.0,0.9868486953094175,0.9968390804597702,0.9754639175257733,0.7851380196009984
10,0.6973750630994447,1.0,0.8628520604802846,0.7413861386138614,0.7606258420830868,0.9575664422907704,0.9887412535951796,0.7614541035293684,0.9881516587677724,0.9994845360824742,1.0,0.9869534524368205,0.9965517241379309,0.9813402061855669,0.7850367145374432
11,0.6983005216220765,1.0,0.862555588496887,0.7406930693069307,0.7554142618202893,0.9573450057194366,0.9879535432556258,0.7657645852408342,0.9880200105318588,0.9990979381443299,1.0,0.9869243906219527,0.9965517241379309,0.9844329896907217,0.7844149439015041
12,0.6998569745919571,1.0,0.8599466350429884,0.7404455445544554,0.7639841303833427,0.9572623891620259,0.9873093056035142,0.7685676715678424,0.9879673512374934,0.9989690721649485,1.0,0.9868778952133743,0.9968390804597702,0.9843298969072165,0.7809694289335887
13,0.7012872286723877,1.0,0.8593536910761932,0.7424257425742574,0.7942204298922106,0.957235976061128,0.9865934859900568,0.7687898352215985,0.987809373354397,0.9990979381443299,1.0,0.986924436651649,0.9968390804597702,0.9826804123711341,0.7802170992217686
14,0.7014134275618374,1.0,0.8594722798695523,0.7462871287128713,0.8202794117612413,0.9570971560472046,0.9859492483379452,0.7669034613094468,0.9876250658241179,0.9994845360824742,1.0,0.986895328807085,0.9968390804597702,0.9826804123711341,0.779291148705946
15,0.7018761568231533,1.0,0.8619033501334122,0.7496039603960396,0.8402619965552006,0.956817827392,0.9858063931800041,0.7711279349617804,1.0,0.9994845360824742,1.0,0.986924436651649,0.996264367816092,0.9818556701030928,0.7791101328019927
16,0.7024650849739189,1.0,0.8621998221168099,0.7552475247524753,0.8582980009696112,0.956621115294206,0.9899578381733066,0.7791070922165029,1.0,0.9994845360824742,1.0,0.9868604068519424,0.9965517241379309,0.9814432989690722,0.7784234840474074
17,0.7021285546020529,1.0,0.862674177290246,0.7561881188118812,0.8677545716502859,0.9563434752663597,0.9912466222422804,0.7954726531565889,1.0,0.9994845360824742,1.0,0.986755741783932,0.9965517241379309,0.9804123711340207,0.7744828319655517
18,0.7027595490493017,1.0,0.8631485324636822,0.7562376237623762,0.8668414163075795,0.9565103970085392,0.9944678105028387,0.8066309684093962,1.0,0.9994845360824742,1.0,0.986674195069147,0.996264367816092,0.981340206185567,0.7741060207387932
19,0.7044422009086321,1.0,0.8628520604802846,0.7545544554455446,0.8599956365141045,0.9565384987367954,0.9951120481549506,0.8118348287005295,1.0,0.9994845360824742,1.0,0.9867848496284962,0.996264367816092,0.981340206185567,0.7739602728630639
20,0.7053255931347805,1.0,0.8624962941002075,0.7493564356435644,0.8498102998720709,0.9566509056498205,0.9951833213515456,0.8147986335863872,1.0,0.9990979381443299,1.0,0.9868313910667709,0.996264367816092,0.981340206185567,0.7743335742362896
21,0.7066717146222448,1.0,0.8626148828935666,0.7497029702970297,0.8400697694831776,0.9567318335798729,0.9952552120776421,0.8165377319255118,1.0,0.9989690721649485,1.0,0.9867614178054215,0.996264367816092,0.9808247422680413,0.7760050635269728
22,0.7076813057378429,1.0,0.8627334716869257,0.7497524752475248,0.8382107214278814,0.9566773187507186,0.9952552120776421,0.8145968963949789,1.0,0.9989690721649485,1.0,0.9867265506180003,0.996264367816092,0.9815463917525774,0.7791589504299534
23,0.7080599024061922,1.0,0.8631485324636822,0.749950495049505,0.8365376549132268,0.9567368994619476,0.9952552120776421,0.8135622779317832,1.0,0.998840206185567,1.0,0.9867847202774321,0.996264367816092,0.980721649484536,0.7791198342544249
24,0.7066717146222447,1.0,0.862792766083605,0.7502970297029703,0.8299511683980961,0.9569004439494107,0.9952552120776421,0.8078687142548846,1.0,0.9989690721649485,1.0,0.9867323186988826,0.996264367816092,0.9811340206185566,0.778365917210621
25,0.7055359246171967,1.0,0.8629706492736435,0.7502970297029703,0.8293099882286462,0.9567633125628457,0.9953271028037383,0.7998377420615673,1.0,0.9989690721649485,1.0,0.9867323186988826,0.996264367816092,0.9809278350515462,0.7772922115579254
26,0.705409725727747,1.0,0.8628520604802846,0.7499009900990099,0.8305523244086341,0.9566244925489226,0.9953271028037383,0.7922727878703703,1.0,0.9994845360824742,1.0,0.9867381788391573,0.996264367816092,0.981340206185567,0.7772847641050938
27,0.7057462560996131,1.0,0.8628520604802846,0.749950495049505,0.8320967532336203,0.9567037318516167,0.9953271028037383,0.7852170389703337,1.0,0.9996134020618557,1.0,0.9802751789576704,0.996264367816092,0.9815463917525774,0.777241855214902
28,0.7063351842503787,1.0,0.862792766083605,0.7502475247524752,0.8329435281967374,0.9567846597816689,0.9952552120776421,0.7854957141674621,1.0,0.9994845360824742,1.0,0.9587942541647518,0.996264367816092,0.9811340206185566,0.7782067950982137
29,0.707050311290594,1.0,0.8358138155944264,0.750148514851485,0.8398608820042913,0.9568093842552088,0.9952552120776421,0.7984475300120298,0.9998156924697209,0.9994845360824742,1.0,0.9587768205710411,0.9959770114942529,0.9840206185567009,0.7793611101678909
30,0.7076392394413596,1.0,0.860836050993181,0.7547029702970297,0.8713309792421817,0.9566705642412856,0.9953271028037383,0.8131601426336879,1.0,0.9994845360824742,1.0,0.9586603979308098,0.996264367816092,0.9875257731958763,0.7794642519744054
31,0.7077654383308094,1.0,0.8627334716869255,0.7574257425742574,0.8893347153788588,0.9566739414960022,0.9953271028037383,0.8247746000097411,1.0,0.9992270692800476,1.0,0.9585674071136528,0.996264367816092,0.9896907216494846,0.7753079558695775
32,0.7092798250042067,1.0,0.8629706492736435,0.756980198019802,0.8991000869698113,0.9568144501372835,0.9947528288419913,0.8367224275344934,1.0,0.9994845360824742,1.0,0.9584801843773783,0.9965517241379309,0.9903092783505155,0.7700632104269114
33,0.7097846205620058,1.0,0.8630892380670027,0.7571287128712871,0.904495263061974,0.9567880370363856,0.9953271028037383,0.8420597456343012,1.0,0.9990979381443299,1.0,0.9586723023301449,0.9965517241379309,0.9904123711340207,0.7697423384650408
34,0.7093218913006899,1.0,0.8631485324636822,0.756980198019802,0.902477074977304,0.9569566474059232,0.9952552120776421,0.8439602692427546,1.0,0.9989690721649485,1.0,0.9585559257196099,0.99683908045977,0.9923711340206186,0.7689273238867489
