year,price_import
2022,0.9565663308150475
2023,0.9565663308150475
2024,0.8351936528883259
2025,0.8351936528883259
2026,0.8091268682879715
2027,0.8091268682879715
2028,0.8084212103891895
2029,0.8084212103891895
2030,0.803388468220505
2031,0.803388468220505
2032,0.8033584078818548
2033,0.8033584078818548
2034,0.803356293136273
2035,0.803356293136273
2036,0.8033601031173635
2037,0.8033601031173635
2038,0.8033594914266303
2039,0.8033594914266303
2040,0.803359204026672
2041,0.803359204026672
2042,0.8033593358589664
2043,0.8033593358589664
2044,0.8033593384962298
2045,0.8033593384962298
2046,0.8033593232621384
2047,0.8033593232621384
2048,0.8033593263544627
2049,0.8033593263544627
2050,0.8033593278627031
