node,availability_import_yearly
AT,0.8311536529680367
BE,0.8266711187214612
BG,0.08783299086757991
CH,0.8311536529680367
CZ,0.4892208904109589
DE,5.576230365296804
DK,0.5936891552511416
EE,0.04508732876712329
EL,0.012842465753424657
ES,0.7165489726027398
FI,0.3899353881278539
FR,2.170154223744292
HR,0.05169646118721461
HU,0.2801877853881279
IE,0.19483207762557078
IT,1.580021917808219
LT,0.0775304794520548
LU,0.05939703196347032
LV,0.06985958904109589
NL,1.1429784246575343
NO,0.3509684931506849
PL,1.3939063926940638
PT,0.24843184931506848
RO,0.3739222602739726
SE,1.313673287671233
SI,0.0759365296803653
SK,0.3117706621004566
UK,2.0329148401826482
