node,demand
AT,0.011551541095890412
BE,3.8818861130136986
BG,0.050271113013698625
CH,0.011551541095890412
CZ,0.0024564554794520546
DE,0.9533243835616438
DK,0.4011435616438356
EE,0.16620184931506848
EL,1.2750347260273973
ES,4.27709470890411
FI,0.22699392123287668
FR,0.6673654109589041
HR,0.03667869863013699
HU,0.0024486472602739725
IE,0.157878852739726
IT,1.7748116609589042
LT,0.11095546232876713
LU,5.64041095890411e-05
LV,0.12504996575342464
NL,6.948531061643836
NO,0.8368108561643837
PL,0.18082083904109592
PT,0.44664708904109585
RO,0.0507607705479452
SE,1.5934821575342466
SI,0.06897344178082192
SK,0.0
UK,1.9224005650684932
