node,year_construction,capacity_existing
AT,1974.0,1.7829950067910405
AT,1977.0,10.834804541267417
AT,1982.0,5.850711522284089
AT,2007.0,12.443646547395145
AT,2011.0,10.627479540477761
AT,2014.0,1.6876255064277992
BE,1985.0,7.064509936956469
BG,1974.0,1.9921872934631155
CZ,1965.0,1.537825
CZ,1975.0,17.850393439261506
CZ,1983.0,3.2776999999999994
CZ,1989.0,3.932830678448699
CZ,1998.0,2.80625
CZ,2000.0,2.191900923215759
CZ,2001.0,4.538514582892776
CZ,2016.0,3.0531077248471803
DE,1960.0,1.1140474997694916
DE,1969.0,3.018547421016939
DE,1970.0,1.1775296282327576
DE,1971.0,0.5960770755224217
DE,1973.0,4.0574349899353805
DE,1974.0,17.158288868534466
DE,1975.0,31.646348570942802
DE,1976.0,35.3103726910334
DE,1977.0,3.206483578672337
DE,1979.0,6.368569692409216
DE,1980.0,10.152220315242571
DE,1982.0,9.101480311769942
DE,1983.0,3.3996947686692636
DE,1985.0,3.5517971948370506
DE,1986.0,13.392413080254796
DE,1991.0,3.3996947686692636
DE,1992.0,5.821000958205166
DE,1993.0,36.652573830054564
DE,1996.0,12.513507709587941
DE,1997.0,8.844550537837874
DE,2000.0,6.55684783074664
DE,2001.0,3.996247218109494
DE,2002.0,9.537233208358748
DE,2007.0,7.169368411800712
DE,2008.0,6.81172216648726
DE,2012.0,42.01932294794783
DE,2013.0,4.908386401198425
DE,2020.0,9.307846306192198
DK,1987.0,9.517578869764215
DK,1994.0,5.445
ES,1991.0,3.3591113065815588
ES,1993.0,2.815538301218172
ES,2012.0,6.295679534775183
FR,1956.0,11.9648643335942
FR,1957.0,23.49199474527717
FR,1965.0,6.509455999999999
FR,1968.0,11.493806682665294
FR,1970.0,13.003248185947532
FR,1976.0,10.153452248843134
FR,1981.0,10.719604981891463
FR,1982.0,14.780954399999999
FR,1993.0,41.15555169554961
HR,1988.0,2.263538407686457
HR,2020.0,0.9137219260385699
HU,1978.0,1.2739312186286673
HU,1979.0,1.2739312186286673
HU,1981.0,8.69003081278841
HU,1996.0,12.288472891382371
HU,2009.0,11.060039216276158
IT,1964.0,116.92898994026454
IT,1965.0,27.966365
IT,1967.0,12.149322500000002
IT,1975.0,30.14407375
IT,1982.0,22.92325
IT,1984.0,4.518647704899798
IT,1985.0,10.7739275
IT,1986.0,15.037652
IT,1994.0,3.554417441511129
IT,2013.0,3.3317411715346634
IT,2016.0,4.518647704899798
IT,2017.0,12.47827399679439
NL,1997.0,62.148218839584324
NL,2011.0,10.594879683111385
PL,1979.0,7.744460933126271
PL,1982.0,1.5575091020546086
PL,1987.0,2.654751662077248
PL,1995.0,4.339655967729992
PL,1997.0,8.239593006911585
PL,2009.0,4.4197916603159255
PL,2010.0,1.1342282642930661
PL,2014.0,4.3971892854839885
PT,2003.0,3.639264672291562
RO,1979.0,1.969645219485522
RO,1983.0,7.048604590485923
RO,1992.0,4.440992523179631
RO,1995.0,3.3281636203466043
RO,2002.0,0.6193852891463906
RO,2004.0,0.780425464324452
SE,2004.0,3.6681133960737315
SK,1977.0,30.266239770285964
SK,2001.0,0.6960480597701145
SK,2021.0,1.6378815202150783
UK,1979.0,5.241890090025115
UK,2000.0,1.1693447123902179
UK,2001.0,4.87899000686953
UK,2005.0,3.7701286416719086
UK,2009.0,13.790203159912224
UK,2012.0,9.608787757330651
UK,2014.0,11.177322561192012
UK,2015.0,2.439495003434765
