node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AT,1.0,0.9986029580122447,0.9972059160244894,0.9958088740367341,0.9944118320489787,0.9930147900612234,0.9916177480734681,0.9902207060857128,0.9888236640979575,0.9832167665739144,0.9776098690498715,0.9720029715258283,0.9663960740017853,0.9607891764777422,0.955182278953699,0.949575381429656,0.9439684839056128,0.9383615863815699,0.9327546888575268,0.9367485304297923,0.9407423720020577,0.9447362135743231,0.9487300551465885,0.952723896718854,0.9567177382911196,0.960711579863385,0.9647054214356504,0.9686992630079159,0.9726931045801813
BE,1.0,1.0039874540613813,1.0079749081227625,1.0119623621841438,1.0159498162455252,1.0199372703069065,1.0239247243682879,1.027912178429669,1.0318996324910503,1.0460500292722241,1.0602004260533977,1.0743508228345713,1.0885012196157449,1.1026516163969187,1.1168020131780922,1.1309524099592658,1.1451028067404394,1.159253203521613,1.1734036003027868,1.1908025961923618,1.2082015920819371,1.2256005879715124,1.2429995838610874,1.2603985797506627,1.2777975756402375,1.2951965715298128,1.312595567419388,1.3299945633089632,1.3473935591985384
BG,1.0,0.9995411177497114,0.9990822354994229,0.9986233532491342,0.9981644709988459,0.9977055887485572,0.9972467064982686,0.9967878242479801,0.9963289419976915,0.9872597791405718,0.9781906162834519,0.9691214534263323,0.9600522905692124,0.9509831277120926,0.9419139648549729,0.932844801997853,0.9237756391407334,0.9147064762836135,0.9056373134264938,0.9019726269019998,0.8983079403775055,0.8946432538530115,0.8909785673285173,0.8873138808040233,0.883649194279529,0.879984507755035,0.876319821230541,0.8726551347060467,0.8689904481815527
CH,1.0,0.9984175679435355,0.9968351358870711,0.9952527038306066,0.993670271774142,0.9920878397176776,0.9905054076612132,0.9889229756047485,0.9873405435482842,0.9939844964142466,1.0006284492802089,1.0072724021461714,1.0139163550121337,1.0205603078780963,1.0272042607440588,1.0338482136100213,1.0404921664759836,1.0471361193419462,1.0537800722079085,1.0658448908248535,1.0779097094417984,1.0899745280587432,1.1020393466756881,1.1141041652926331,1.1261689839095779,1.1382338025265228,1.1502986211434676,1.1623634397604126,1.1744282583773575
CZ,1.0,0.9994975756210743,0.9989951512421484,0.9984927268632227,0.9979903024842968,0.997487878105371,0.9969854537264453,0.9964830293475194,0.9959806049685936,0.9838913640243238,0.9718021230800536,0.9597128821357837,0.9476236411915138,0.9355344002472438,0.9234451593029738,0.9113559183587038,0.8992666774144339,0.8871774364701638,0.8750881955258938,0.8746287442308864,0.8741692929358792,0.8737098416408717,0.8732503903458644,0.8727909390508569,0.8723314877558497,0.8718720364608423,0.8714125851658349,0.8709531338708276,0.8704936825758202
DE,1.0,1.000128088508803,1.0002561770176062,1.0003842655264095,1.0005123540352125,1.0006404425440156,1.0007685310528187,1.000896619561622,1.001024708070425,0.9960747962711486,0.9911248844718721,0.9861749726725954,0.9812250608733188,0.9762751490740423,0.9713252372747658,0.9663753254754893,0.9614254136762127,0.9564755018769362,0.9515255900776597,0.9526865175595183,0.953847445041377,0.9550083725232357,0.9561693000050944,0.957330227486953,0.9584911549688117,0.9596520824506704,0.9608130099325289,0.9619739374143877,0.9631348648962463
DK,1.0,1.0040708057507346,1.0081416115014692,1.0122124172522038,1.0162832230029382,1.0203540287536728,1.0244248345044074,1.028495640255142,1.0325664460058765,1.036217003916263,1.0398675618266497,1.0435181197370365,1.0471686776474232,1.0508192355578099,1.0544697934681964,1.058120351378583,1.0617709092889698,1.0654214671993565,1.0690720251097432,1.0727963582963358,1.0765206914829286,1.0802450246695214,1.083969357856114,1.0876936910427069,1.0914180242292997,1.0951423574158925,1.098866690602485,1.102591023789078,1.1063153569756707
EE,1.0,0.9866118959038876,0.9732237918077752,0.9598356877116628,0.9464475836155505,0.9330594795194381,0.9196713754233257,0.9062832713272133,0.892895167231101,0.8713591294563967,0.8498230916816926,0.8282870539069883,0.8067510161322842,0.78521497835758,0.7636789405828758,0.7421429028081716,0.7206068650334675,0.6990708272587632,0.6775347894840591,0.6856205750561608,0.6937063606282624,0.7017921462003641,0.7098779317724657,0.7179637173445674,0.7260495029166691,0.7341352884887709,0.7422210740608726,0.7503068596329742,0.7583926452050759
EL,1.0,1.0074909503334393,1.0149819006668785,1.0224728510003178,1.029963801333757,1.0374547516671964,1.0449457020006356,1.052436652334075,1.0599276026675142,1.061725492103137,1.0635233815387597,1.0653212709743825,1.0671191604100052,1.0689170498456282,1.070714939281251,1.0725128287168737,1.0743107181524965,1.0761086075881192,1.0779064970237422,1.0803202527365827,1.082734008449423,1.0851477641622638,1.087561519875104,1.0899752755879446,1.0923890313007854,1.0948027870136257,1.0972165427264662,1.0996302984393067,1.1020440541521472
ES,1.0,1.0049740539844805,1.0099481079689607,1.0149221619534412,1.0198962159379215,1.0248702699224017,1.0298443239068822,1.0348183778913627,1.039792431875843,1.0414807833800699,1.0431691348842966,1.0448574863885236,1.0465458378927504,1.0482341893969773,1.049922540901204,1.051610892405431,1.053299243909658,1.0549875954138848,1.0566759469181117,1.0591464612011663,1.0616169754842206,1.064087489767275,1.0665580040503295,1.069028518333384,1.0714990326164386,1.073969546899493,1.0764400611825475,1.078910575465602,1.0813810897486564
