node,availability_import
AT,2.376172323693557
BE,1.9911521499238964
BG,1.423872412480974
CH,1.6526650875190259
CZ,2.597773129122273
DE,13.610687404870623
DK,1.6729727042110603
EE,0.5903354325215626
EL,1.0046978310502284
ES,5.222711808726534
FI,3.074387677574835
FR,14.432818258498227
HR,0.4998575025367833
HU,2.284219793252156
IE,0.3467834665144596
IT,4.141889485032978
LT,0.8829390410958904
LU,0.04583654236428209
LV,1.0265321473871132
NL,1.6758430048198885
NO,3.0729706430745813
PL,5.267096220192795
PT,0.9345647133434805
RO,3.7526041920344997
SE,6.637916349568747
SI,0.2533283866057839
SK,0.9023429731100965
UK,3.476998236935566
