node,demand
AT,179.64774950815394
BE,208.4801043626875
BG,17.377690802348333
CH,0.0
CZ,128.87149380300062
DE,1109.8719329876058
DK,0.0
EE,0.0
EL,38.27788649706458
ES,373.6725375159817
FI,103.06588389562947
FR,401.5133724842791
HR,2.3215123971298106
HU,51.63731245923026
IE,0.0
IT,626.1923184474886
LT,0.0
LU,60.718127123287665
LV,0.0
NL,177.76908023483364
NO,16.97852576647097
PL,256.1513372472276
PT,44.357469015003254
RO,92.62883235485974
SE,121.4090019595564
SI,17.064579256360073
SK,133.8551859099804
UK,187.86692759295497
