node,demand
AT,606.3111545900197
BE,703.6203522240705
BG,58.64970645792564
CH,0.0
CZ,434.9412915851272
DE,3745.8177738331706
DK,0.0
EE,0.0
EL,129.18786692759298
ES,1261.1448141164383
FI,347.8473581477495
FR,1355.1076321344422
HR,7.835104340313112
HU,174.27592954990217
IE,0.0
IT,2113.3990747602743
LT,0.0
LU,204.9236790410959
LV,0.0
NL,599.9706457925637
NO,57.30252446183953
PL,864.5107632093933
PT,149.70645792563602
RO,312.62230919765165
SE,409.75538161350295
SI,57.59295499021526
SK,451.76125244618396
UK,634.0508806262231
