year,opex_specific_variable
2022,1.0
2023,0.9940608386086032
2024,0.9881216772172061
2025,0.9821825158258093
2026,0.9762433544344123
2027,0.9703041930430155
2028,0.9643650316516185
2029,0.9584258702602216
2030,0.9524867088688248
2031,0.9524867088688248
2032,0.9524867088688248
2033,0.9524867088688248
2034,0.9524867088688248
2035,0.9524867088688248
2036,0.9524867088688248
2037,0.9524867088688248
2038,0.9524867088688248
2039,0.9524867088688248
2040,0.9524867088688248
2041,0.9524867088688248
2042,0.9524867088688248
2043,0.9524867088688248
2044,0.9524867088688248
2045,0.9524867088688248
2046,0.9524867088688248
2047,0.9524867088688248
2048,0.9524867088688248
2049,0.9524867088688248
2050,0.9524867088688248
