node,availability_import
AT,0.24210063419583963
BE,1.5298786656519532
BG,0.17798151953323188
CH,0.16910408422120748
CZ,1.546897615423643
DE,3.48176783992897
DK,1.380656202435312
EE,0.25638266742770166
EL,0.2346214865550482
ES,3.2128428526128867
FI,0.19774012557077625
FR,8.20273180492136
HR,0.10397465753424658
HU,1.9846360857432777
IE,0.5783902650938609
IT,3.805659119736174
LT,0.41218891425672244
LU,0.04826118594622019
LV,0.23802810755961445
NL,1.5554054857940132
NO,0.1713488584474886
PL,2.3026078576864535
PT,0.7017664510400812
RO,0.7285371004566209
SE,0.5823690829528159
SI,0.050129477422628105
SK,0.4307577752409944
UK,4.996263280060883
